molecule_chembl_id,bioactivity_class,pIC50,canonical_smiles,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
CHEMBL3260816,Active,8.522878745280337,Fc1ccc(-c2c(-c3nnn[nH]3)nc(C3CCCCC3)n2-c2cccc(Cl)c2F)cc1Cl,474.093806376,5,1,6.352100000000004,True
CHEMBL3220101,Inactive,5.327902142064283,N#Cc1ccc(-n2c(-c3ccccc3)cc(C=C3C(=O)NC(=O)NC3=O)c2-c2ccccc2)cc1,458.13789043599996,5,2,4.432380000000003,True
CHEMBL3220102,Inactive,6.698970004336019,N#Cc1ccc(-n2c(-c3ccccc3)cc(C=C3C(=O)NC(=S)NC3=O)c2-c2ccccc2)cc1,474.11504681599996,5,2,4.597280000000002,True
CHEMBL3675214,Inactive,5.048176964684088,N#Cc1ccc(CN2C(=O)c3c(Cl)cccc3C2(O)c2ccc(Cl)cc2)cc1,408.043233048,3,1,4.714480000000003,True
CHEMBL3675213,Inactive,5.790484985457369,N#Cc1ccc(CN2C(=O)c3cccc(Cl)c3C2(O)c2ccc(Cl)cc2)cc1,408.043233048,3,1,4.714480000000003,True
CHEMBL1834288,Inactive,6.732828271596986,N#Cc1ccc(CN2C(=O)c3cccc(Cl)c3C2(OCC2(CO)CC2)c2ccc(Cl)cc2)cc1,492.10074792399996,4,1,5.5112800000000055,True
CHEMBL1688143,Inactive,5.221848749616356,N#Cc1ccc(CN2C(=O)c3ccccc3C2(O)c2ccc(Cl)cc2)cc1,374.0822054,3,1,4.061080000000003,True
CHEMBL1688277,Inactive,5.745935547085662,N#Cc1ccc(CN2C(=O)c3ccccc3C2(OCC2(CO)CC2)c2ccc(Cl)cc2)cc1,458.139720276,4,1,4.857880000000004,True
CHEMBL1688261,Inactive,5.455931955649724,N#Cc1ccc(CN2C(=O)c3ccccc3C2(OCCCCO)c2ccc(Cl)cc2)cc1,446.139720276,4,1,4.857880000000005,True
CHEMBL3675198,Inactive,5.638272163982407,N#Cc1ccc(CN2C(=O)c3ccccc3C2(O[C@H]2C=C[C@@H](O)C2)c2ccc(Cl)cc2)cc1,456.124070212,4,1,4.774780000000004,True
CHEMBL1688253,Inactive,5.638272163982407,N#Cc1ccc(CN2C(=O)c3ccccc3C2(O[C@H]2CC[C@@H](O)C2)c2ccc(Cl)cc2)cc1,458.139720276,4,1,4.998780000000005,True
CHEMBL4167230,Inactive,6.511449283499556,N=C(N)Nc1cccc(C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)NCCc2c[nH]c3ccccc23)c1,493.207366964,5,8,0.5214700000000014,True
CHEMBL4164619,Inactive,6.359518563029578,N=C(N)Nc1cccc(C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)NCCc2ccccc2)c1,454.19646793199996,5,7,0.04017000000000226,True
CHEMBL4173995,Inactive,6.204815410317576,N=C(N)Nc1cccc(C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)NCc2ccc(Cl)cc2)c1,474.141845516,5,7,0.6510700000000011,True
CHEMBL4162220,Inactive,6.263603497723357,N=C(N)Nc1cccc(C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)Nc2cccc3ccccc23)c1,476.18081786799996,5,7,1.4731700000000014,True
CHEMBL3220111,Inactive,5.6020599913279625,NC(=O)C(=Cc1cc(-c2ccccc2)n(-c2ccc(Cl)cc2)c1-c1ccccc1)C(N)=O,441.12440456,3,2,4.818700000000003,True
CHEMBL3260815,Active,7.744727494896693,NC(=O)c1nc(C2CCCCC2)n(-c2cccc(Cl)c2F)c1-c1ccc(F)c(Cl)c1,449.087324028,3,1,6.270900000000005,True
CHEMBL3675203,Inactive,5.609064892896621,NCCCOC1(c2ccc(Cl)cc2)c2ccccc2C(=O)N1Cc1ccc([N+](=O)[O-])cc1,451.12988386399996,5,1,4.470700000000004,True
CHEMBL461462,Inactive,4.23210238398191,NCCc1c2c(c3nccc4c3c1Nc1ccccc1-4)OCS2,321.0935831,5,2,3.902000000000002,True
